epochs, nll-oracle,nll-test,EmbeddingSimilarity,
117,9.570153,6.3873496,-0.20091641110732442,
119,9.5503645,6.403749,-0.1987442871449194,
121,9.542719,6.4180465,-0.19787722587323558,
123,9.543154,6.43156,-0.1990540127654121,
125,9.547478,6.4441214,-0.19809110679993638,
127,9.548906,6.455324,-0.196391327452922,
129,9.546196,6.4670568,-0.20063146548812977,
131,9.552005,6.478124,-0.20050492563390943,
133,9.535044,6.4893465,-0.19531554593984476,
135,9.5451565,6.500692,-0.20255820875851008,
137,9.553888,6.5116477,-0.19962385357443965,
139,9.546496,6.5220633,-0.1985465404304971,
141,9.5425,6.531953,-0.20001003770977174,
143,9.558232,6.542305,-0.19747382805476246,
145,9.559001,6.55226,-0.19444621676215304,
147,9.567433,6.5617785,-0.19833987281919283,
149,9.574033,6.570623,-0.19948954822765153,
151,9.556201,6.5784216,-0.19993902301057928,
153,9.571753,6.5862975,-0.19876062667815145,
155,9.575954,6.5940804,-0.20147734441766013,
157,9.574743,6.6019664,-0.20072659450590613,
159,9.579086,6.6104894,-0.20002009237295124,
161,9.569095,6.617843,-0.1980159144285301,
163,9.573789,6.625266,-0.2004060143494256,
165,9.571833,6.6317453,-0.19971961476853384,
167,9.584181,6.6381383,-0.2041165020348061,
169,9.5756445,6.644827,-0.2052652158007896,
171,9.592505,6.651726,-0.2009979321485844,
173,9.591612,6.6592393,-0.20163012249089957,
175,9.584775,6.6679993,-0.20086938589786613,
177,9.598677,6.676709,-0.2008918404194159,
179,9.60468,6.6853104,-0.20195540667669304,
181,9.601578,6.694298,-0.2014885502780136,
183,9.5990505,6.702152,-0.20552509793351953,
185,9.614461,6.7095494,-0.2024939763803389,
187,9.602339,6.716415,-0.20083465141833928,
189,9.611845,6.7230897,-0.20290933051073834,
191,9.624744,6.7293468,-0.19935485565959118,
193,9.619431,6.7348814,-0.2040815599296507,
195,9.631185,6.7403455,-0.1983885942693359,
197,9.638225,6.7454247,-0.20393159584268483,
199,9.637327,6.750961,-0.20046186362453403,
201,9.627724,6.7571497,-0.20080985783421548,
203,9.650121,6.7632384,-0.20173266002161905,
205,9.650115,6.7685623,-0.2054018781040708,
207,9.647508,6.773411,-0.2015378525547445,
209,9.6552105,6.7781177,-0.20452650615577897,
211,9.659186,6.7822123,-0.20019354055028402,
213,9.6434765,6.7878027,-0.20216713697729521,
215,9.6537895,6.793763,-0.20430144486023147,
217,9.641284,6.7996545,-0.2015127477957912,
219,9.666672,6.805809,-0.20415827023953034,
221,9.66413,6.8132386,-0.20343125565157844,
223,9.654648,6.8211155,-0.2054190393544028,
225,9.657457,6.8289065,-0.2033115696486009,
227,9.675692,6.835997,-0.2071317597666557,
229,9.681911,6.842487,-0.20508194948090086,
231,9.679194,6.847887,-0.205702801558791,
233,9.6785345,6.852262,-0.2040897480742066,
235,9.687446,6.8568764,-0.2070016586111295,
237,9.695103,6.8605113,-0.20478020781523326,
239,9.697277,6.864689,-0.20635872821578183,
241,9.683607,6.869402,-0.20199259992369645,
243,9.696072,6.874557,-0.2038304291339535,
245,9.68634,6.879861,-0.20402759321624248,
247,9.69374,6.8844595,-0.2055932756131727,
249,9.685608,6.887963,-0.2083612544362924,
251,9.694466,6.890233,-0.2066563796128677,
253,9.714498,6.8925266,-0.20426464496408012,
255,9.717406,6.8947277,-0.20919448185809827,
257,9.716936,6.897163,-0.20539260507863638,
259,9.71709,6.899883,-0.2050146965527688,
261,9.724711,6.9025755,-0.20903476799905435,
263,9.742696,6.906138,-0.20667037703649624,
265,9.743132,6.910201,-0.2048447098227933,
267,9.739334,6.9139256,-0.206014541679266,
269,9.73521,6.9184384,-0.20403423864988332,
271,9.744336,6.9233837,-0.20857002728610474,
273,9.756492,6.9281974,-0.2097973900696904,
275,9.740423,6.933113,-0.2101277170149594,
277,9.755997,6.93834,-0.20713607941405135,
279,9.771057,6.9432545,-0.20647786740872368,
280,9.772456,6.9456286,-0.2098210080365703,
